20260302T16:06:14Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: Updating LOKI ...
20260302T16:06:14Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: Checking location of latest release https://api.github.com/repos/Neo23x0/Loki/releases/latest ...
20260302T16:06:14Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: Downloading latest release https://github.com/Neo23x0/Loki/releases/download/v0.51.0/loki_0.51.0.zip ...
20260302T16:06:15Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: Extracting docs/LICENSE-doublepulsarcheck ...
20260302T16:06:15Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: Extracting docs/LICENSE-PE-Sieve ...
20260302T16:06:15Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: Extracting LICENSE ...
20260302T16:06:15Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: Extracting loki.exe ...
20260302T16:06:15Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: Extracting plugins/loki-plugin-wmi.py ...
20260302T16:06:15Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: Extracting README.md ...
20260302T16:06:15Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: Extracting requirements.txt ...
20260302T16:06:15Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: Extracting tools/pe-sieve32.exe ...
20260302T16:06:15Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: Extracting tools/pe-sieve64.exe ...
20260302T16:06:15Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: Updating Signatures ...
20260302T16:06:15Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: Downloading https://github.com/Neo23x0/signature-base/archive/master.zip ...
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: README.txt
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: c2-iocs.txt
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: filename-iocs.txt
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: hash-iocs.txt
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: keywords.txt
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: file-type-signatures.txt
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: airbnb_binaryalert.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_aa19_024a.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_agent_btz.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_alienspy_rat.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt10.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt10_redleaves.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt12_malware.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt15.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt17_mal_sep17.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt17_malware.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt19.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt27_hyperbro.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt27_rshell.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt28.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt28_drovorub.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt29_grizzly_steppe.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt29_nobelium_apr22.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt29_nobelium_may21.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt30_backspace.yar
20260302T16:06:16Z ZEPHYRUS-G16 LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_apt32.yar
